#CNS11643,Sinopac,Unicode,Unisys,Word
01-6525,723A,723A,B7DD,爺
01-6526,7252,7252,B7DE,牒
01-652A,733E,733E,B7E2,猾
01-652D,7455,7455,B7E5,瑕
01-6532,7459,7459,B7EA,瑙
01-6534,745C,745C,B7EC,瑜
01-6535,7576,7576,B7ED,當
01-6537,7600,7600,B7EF,瘀
01-6538,75F0,75F0,B7F0,痰
01-6539,7601,7601,B7F1,瘁
01-653B,75F1,75F1,B7F3,痱
01-653C,75FA,75FA,B7F4,痺
01-653E,75F4,75F4,B7F6,痴
01-653F,75F3,75F3,B7F7,痳
01-6542,775B,775B,B7FA,睛
01-6544,7766,7766,B7FC,睦
01-6545,775E,775E,B7FD,睞
01-6547,7779,7779,B840,睹
01-6548,776A,776A,B841,睪
01-654B,7765,7765,B844,睥
01-654C,7768,7768,B845,睨
01-654F,788E,788E,B848,碎
01-6554,7889,7889,B84D,碉
01-6557,7893,7893,B850,碓
01-6558,787F,787F,B851,硿
01-6559,797A,797A,B852,祺
01-655B,7981,7981,B854,禁
01-655C,842C,842C,B855,萬
01-655E,7A1C,7A1C,B857,稜
01-655F,7A1A,7A1A,B858,稚
01-6561,7A14,7A14,B85A,稔
01-4A70,6C70,6C70,A84F,汰
01-4A71,6C8C,6C8C,A850,沌
01-4A73,6C96,6C96,A852,沖
01-4A75,6C7D,6C7D,A854,汽
01-4A76,6C83,6C83,A855,沃
01-4A77,6C72,6C72,A856,汲
01-4A7A,6C86,6C86,A859,沆
01-4A7D,6C94,6C94,A85C,沔
01-4A7E,6C98,6C98,A85D,沘
01-4B21,6C82,6C82,A85E,沂
01-4B22,7076,7076,A85F,灶
01-4B23,707C,707C,A860,灼
01-4B24,707D,707D,A861,災
01-4B26,7262,7262,A863,牢
01-4B2D,752B,752B,A86A,甫
01-4B2E,7537,7537,A86B,男
01-4B2F,7538,7538,A86C,甸
01-4B30,7682,7682,A86D,皂
01-4B31,76EF,76EF,A86E,盯
01-4B32,77E3,77E3,A86F,矣
01-4B33,79C1,79C1,A870,私
01-4B34,79C0,79C0,A871,秀
01-4B36,7A76,7A76,A873,究
01-4B3D,809B,809B,A87A,肛
01-4B3E,809A,809A,A87B,肚
01-4B3F,80B2,80B2,A87C,育
01-4B40,826F,826F,A87D,良
01-4B41,8292,8292,A87E,芒
01-4B42,828B,828B,A8A1,芋
01-4B43,828D,828D,A8A2,芍
01-4B44,898B,898B,A8A3,見
01-4B45,89D2,89D2,A8A4,角
01-4B46,8A00,8A00,A8A5,言
01-4B47,8C37,8C37,A8A6,谷
01-4B4D,8DB3,8DB3,A8AC,足
01-4B4E,8EAB,8EAB,A8AD,身
01-4B4F,8ECA,8ECA,A8AE,車
01-4B58,90A2,90A2,A8B7,邢
01-4B59,90AA,90AA,A8B8,邪
01-4B5A,90A6,90A6,A8B9,邦
01-4B5B,90A3,90A3,A8BA,那
01-4B5C,9149,9149,A8BB,酉
01-4B5F,9632,9632,A8BE,防
01-4B60,962E,962E,A8BF,阮
01-4B61,9631,9631,A8C0,阱
01-4B63,962C,962C,A8C2,阬
01-4B69,4E9E,4E9E,A8C8,亞
01-4B6C,4F6F,4F6F,A8CB,佯
01-4B6D,4F9D,4F9D,A8CC,依
01-4B6E,4F8D,4F8D,A8CD,侍
01-4B6F,4F73,4F73,A8CE,佳
01-4B70,4F7F,4F7F,A8CF,使
01-4B71,4F6C,4F6C,A8D0,佬
01-4B73,4F8B,4F8B,A8D2,例
01-4B74,4F86,4F86,A8D3,來
01-4B76,4F70,4F70,A8D5,佰
01-4B7D,4F8F,4F8F,A8DC,侏
01-4B7E,4F91,4F91,A8DD,侑
01-4C22,5154,5154,A8DF,兔
01-4C25,5169,5169,A8E2,兩
01-4C26,5177,5177,A8E3,具
01-4C28,5178,5178,A8E5,典
01-4C29,51BD,51BD,A8E6,冽
01-4C2A,51FD,51FD,A8E7,函
01-4C2D,5237,5237,A8EA,刷
01-4C32,5241,5241,A8EF,剁
01-4C35,5352,5352,A8F2,卒
01-4C36,5354,5354,A8F3,協
01-4C38,5351,5351,A8F5,卑
01-4C39,5366,5366,A8F6,卦
01-4C3A,5377,5377,A8F7,卷
01-4C3D,53D6,53D6,A8FA,取
01-4C42,5496,5496,A940,咖
01-4C45,5480,5480,A943,咀
01-4C46,547B,547B,A944,呻
01-4C48,5484,5484,A946,咄
01-4C4A,5486,5486,A948,咆
01-4C4D,5471,5471,A94B,呱
01-4C50,549A,549A,A94E,咚
01-4C51,5462,5462,A94F,呢
01-4C53,548B,548B,A951,咋
01-4C54,547D,547D,A952,命
01-4C55,548E,548E,A953,咎
01-4C57,5783,5783,A955,垃
01-4C59,576A,576A,A957,坪
01-4C5B,5761,5761,A959,坡
01-4C5C,5766,5766,A95A,坦
01-4C5D,5764,5764,A95B,坤
01-4C5E,577C,577C,A95C,坼
01-4C5F,591C,591C,A95D,夜
01-4C62,5948,5948,A960,奈
01-4C63,5944,5944,A961,奄
01-4C65,59BE,59BE,A963,妾
01-4C66,59BB,59BB,A964,妻
01-4C67,59D4,59D4,A965,委
01-4C68,59B9,59B9,A966,妹
01-4C69,59AE,59AE,A967,妮
01-4C6B,59C6,59C6,A969,姆
01-4C6D,59CD,59CD,A96B,姍
01-4C6F,59D3,59D3,A96D,姓
01-4C72,59B3,59B3,A970,妳
01-4C75,5B5F,5B5F,A973,孟
01-4C76,5B64,5B64,A974,孤
01-4C78,5B97,5B97,A976,宗
01-4C79,5B9A,5B9A,A977,定
01-4C7D,5B9B,5B9B,A97B,宛
01-4D23,5C46,5C46,A9A1,屆
01-4D24,5CB7,5CB7,A9A2,岷
01-4D25,5CA1,5CA1,A9A3,岡
01-4D27,5CA9,5CA9,A9A5,岩
01-4D28,5CAB,5CAB,A9A6,岫
01-4D29,5CB1,5CB1,A9A7,岱
01-4D2B,5E18,5E18,A9A9,帘
01-4D2C,5E1A,5E1A,A9AA,帚
01-4D2D,5E16,5E16,A9AB,帖
01-4D30,5E11,5E11,A9AE,帑
01-4D33,5E97,5E97,A9B1,店
01-4D34,5E9C,5E9C,A9B2,府
01-4D35,5E95,5E95,A9B3,底
01-4D37,5EF6,5EF6,A9B5,延
01-4D38,5F26,5F26,A9B6,弦
01-4D39,5F27,5F27,A9B7,弧
01-4D3B,5F80,5F80,A9B9,往
01-4D3C,5F81,5F81,A9BA,征
01-4D3D,5F7F,5F7F,A9BB,彿
01-4D40,5FE0,5FE0,A9BE,忠
01-4D42,5FF5,5FF5,A9C0,念
01-4D43,5FFF,5FFF,A9C1,忿
01-4D44,600F,600F,A9C2,怏
01-4D45,6014,6014,A9C3,怔
01-4D47,6035,6035,A9C5,怵
01-4D48,6016,6016,A9C6,怖
01-4D49,602A,602A,A9C7,怪
01-4D4B,6021,6021,A9C9,怡
01-4D4C,6027,6027,A9CA,性
01-4D4D,6029,6029,A9CB,怩
01-4D51,6215,6215,A9CF,戕
01-4D56,62C9,62C9,A9D4,拉
01-4D5A,62C2,62C2,A9D8,拂
01-4D5E,62AB,62AB,A9DC,披
01-4D5F,62D3,62D3,A9DD,拓
01-4D60,62D4,62D4,A9DE,拔
01-4D65,62BC,62BC,A9E3,押
01-4D68,62C7,62C7,A9E6,拇
01-4D6A,62B5,62B5,A9E8,抵
01-4D6C,62B1,62B1,A9EA,抱
01-4D6D,62D8,62D8,A9EB,拘
01-4D6F,62D7,62D7,A9ED,拗
01-4D70,62C6,62C6,A9EE,拆
01-4D75,65BC,65BC,A9F3,於
01-4D78,6613,6613,A9F6,易
01-4D7C,660E,660E,A9FA,明
01-4D7D,6600,6600,A9FB,昀
01-4E21,6615,6615,A9FD,昕
01-4E22,660A,660A,A9FE,昊
01-4E23,6607,6607,AA40,昇
01-4E26,676D,676D,AA43,杭
01-4E27,678B,678B,AA44,枋
01-4E2A,679C,679C,AA47,果
01-4E2E,679D,679D,AA4B,枝
01-4E2F,6797,6797,AA4C,林
01-4E31,6770,6770,AA4E,杰
01-4E32,677F,677F,AA4F,板
01-4E33,6789,6789,AA50,枉
01-4E36,6775,6775,AA53,杵
01-4E37,679A,679A,AA54,枚
01-4E3A,676A,676A,AA57,杪
01-4E3E,6B67,6B67,AA5B,歧
01-4E3F,6B7F,6B7F,AA5C,歿
01-4E41,6C1B,6C1B,AA5E,氛
01-4E42,6CE3,6CE3,AA5F,泣
01-4E43,6CE8,6CE8,AA60,注
01-4E46,6CCC,6CCC,AA63,泌
01-4E47,6CE5,6CE5,AA64,泥
01-4E4A,6CBE,6CBE,AA67,沾
01-4E4E,6CD5,6CD5,AA6B,法
01-4E4F,6CD3,6CD3,AA6C,泓
01-4E50,6CB8,6CB8,AA6D,沸
01-4E54,6CAE,6CAE,AA71,沮
01-4E55,6CD7,6CD7,AA72,泗
01-4E58,6CBF,6CBF,AA75,沿
01-4E59,6CBB,6CBB,AA76,治
01-4E5B,6CDB,6CDB,AA78,泛
01-4E5C,6CCA,6CCA,AA79,泊
01-4E5D,6CAC,6CAC,AA7A,沬
01-4E5F,6CDC,6CDC,AA7C,泜
01-4E60,6CD6,6CD6,AA7D,泖
01-4E61,6CE0,6CE0,AA7E,泠
01-4E63,708E,708E,AAA2,炎
01-4E65,708A,708A,AAA4,炊
01-4E66,7099,7099,AAA5,炙
01-4E67,722C,722C,AAA6,爬
01-4E69,7238,7238,AAA8,爸
01-4E6A,7248,7248,AAA9,版
01-4E6C,7269,7269,AAAB,物
01-4E6E,72CE,72CE,AAAD,狎
01-4E6F,72D9,72D9,AAAE,狙
01-4E71,72D0,72D0,AAB0,狐
01-4E73,73A8,73A8,AAB2,玨
01-4E75,73AB,73AB,AAB4,玫
01-4E76,73A5,73A5,AAB5,玥
01-4E77,753D,753D,AAB6,甽
01-6562,7A1F,7A1F,B85B,稟
01-6564,7A9F,7A9F,B85D,窟
01-6565,7AA0,7AA0,B85E,窠
01-6566,7B77,7B77,B85F,筷
01-6567,7BC0,7BC0,B860,節
01-6568,7B60,7B60,B861,筠
01-656F,7D79,7D79,B868,絹
01-6570,7D91,7D91,B869,綑
01-6577,7F72,7F72,B870,署
01-6579,7FA8,7FA8,B872,羨
01-657A,7FA4,7FA4,B873,群
01-657B,8056,8056,B874,聖
01-657C,8058,8058,B875,聘
01-657D,8086,8086,B876,肆
01-657E,8084,8084,B877,肄
01-6621,8171,8171,B878,腱
01-6622,8170,8170,B879,腰
01-6623,8178,8178,B87A,腸
01-6624,8165,8165,B87B,腥
01-6626,8173,8173,B87D,腳
01-662A,8166,8166,B8A3,腦
01-662C,8247,8247,B8A5,艇
01-662E,8477,8477,B8A7,葷
01-662F,843D,843D,B8A8,落
01-6630,8431,8431,B8A9,萱
01-6631,8475,8475,B8AA,葵
01-6635,846C,846C,B8AE,葬
01-6637,843C,843C,B8B0,萼
01-6638,8435,8435,B8B1,萵
01-6639,8461,8461,B8B2,葡
01-663B,8469,8469,B8B4,葩
01-663D,8446,8446,B8B6,葆
01-6640,865F,865F,B8B9,號
01-6641,86F9,86F9,B8BA,蛹
01-6645,8700,8700,B8BE,蜀
01-6646,86FE,86FE,B8BF,蛾
01-6647,86FB,86FB,B8C0,蛻
01-6648,8702,8702,B8C1,蜂
01-6649,8703,8703,B8C2,蜃
01-664B,870A,870A,B8C4,蜊
01-664D,88DF,88DF,B8C6,裟
01-6650,88DC,88DC,B8C9,補
01-6655,88D5,88D5,B8CE,裕
01-6657,899C,899C,B8D0,覜
01-6658,89E3,89E3,B8D1,解
01-6659,8A6B,8A6B,B8D2,詫
01-665B,8A73,8A73,B8D4,詳
01-665D,8A69,8A69,B8D6,詩
01-6660,8A7C,8A7C,B8D9,詼
01-6661,8A63,8A63,B8DA,詣
01-6666,8A62,8A62,B8DF,詢
01-6668,8A6C,8A6C,B8E1,詬
01-666A,8A7B,8A7B,B8E3,詻
01-666B,8A3E,8A3E,B8E4,訾
01-666F,8C89,8C89,B8E8,貉
01-6673,8CC4,8CC4,B8EC,賄
01-6674,8CB2,8CB2,B8ED,貲
01-6675,8CC3,8CC3,B8EE,賃
01-6677,8CC5,8CC5,B8F0,賅
01-6679,8DDF,8DDF,B8F2,跟
01-667B,8DEF,8DEF,B8F4,路
01-667C,8DF3,8DF3,B8F5,跳
01-667D,8DFA,8DFA,B8F6,跺
01-667E,8DEA,8DEA,B8F7,跪
01-6721,8DE4,8DE4,B8F8,跤
01-6723,8EB2,8EB2,B8FA,躲
01-6724,8F03,8F03,B8FB,較
01-6726,8EFE,8EFE,B8FD,軾
01-6727,8F0A,8F0A,B8FE,輊
01-6728,8F9F,8F9F,B940,辟
01-672B,904A,904A,B943,遊
01-672D,9042,9042,B945,遂
01-6730,9055,9055,B948,違
01-6732,9047,9047,B94A,遇
01-6735,904D,904D,B94D,遍
01-6739,9112,9112,B951,鄒
01-673A,9117,9117,B952,鄗
01-673C,916A,916A,B954,酪
01-673E,91C9,91C9,B956,釉
01-6740,9257,9257,B958,鉗
01-6742,923D,923D,B95A,鈽
01-6743,9240,9240,B95B,鉀
01-6745,925B,925B,B95D,鉛
01-6747,9264,9264,B95F,鉤
01-6749,9234,9234,B961,鈴
01-674A,9249,9249,B962,鉉
01-674C,9245,9245,B964,鉅
01-674E,923F,923F,B966,鈿
01-6750,9598,9598,B968,閘
01-6752,9694,9694,B96A,隔
01-6755,96CB,96CB,B96D,雋
01-6759,96FB,96FB,B971,電
01-675A,96F9,96F9,B972,雹
01-675C,9756,9756,B974,靖
01-675E,9776,9776,B976,靶
01-6760,9811,9811,B978,頑
01-6763,9812,9812,B97B,頒
01-6765,98FC,98FC,B97D,飼
01-6767,98FD,98FD,B9A1,飽
01-6769,99B3,99B3,B9A3,馳
01-676A,99B1,99B1,B9A4,馱
01-6772,50E7,50E7,B9AC,僧
01-6774,50E5,50E5,B9AE,僥
01-6778,50D5,50D5,B9B2,僕
01-677C,50CE,50CE,B9B6,僎
01-677E,5162,5162,B9B8,兢
01-6824,5331,5331,B9BC,匱
01-6825,53AD,53AD,B9BD,厭
01-6826,55FE,55FE,B9BE,嗾
01-6827,5600,5600,B9BF,嘀
01-6828,561B,561B,B9C0,嘛
01-6829,5617,5617,B9C1,嘗
01-682B,5614,5614,B9C3,嘔
01-682D,5609,5609,B9C5,嘉
01-682E,560D,560D,B9C6,嘍
01-6830,55F7,55F7,B9C8,嗷
01-6831,5616,5616,B9C9,嘖
01-6832,561F,561F,B9CA,嘟
01-6833,5608,5608,B9CB,嘈
01-683A,5883,5883,B9D2,境
01-683C,588A,588A,B9D4,墊
01-683F,587D,587D,B9D7,塽
01-6840,58FD,58FD,B9D8,壽
01-6841,5925,5925,B9D9,夥
01-6842,5922,5922,B9DA,夢
01-6848,5AE9,5AE9,B9E0,嫩
01-684A,5AD6,5AD6,B9E2,嫖
01-684C,5AE3,5AE3,B9E4,嫣
01-6850,5BE1,5BE1,B9E8,寡
01-6851,5BE5,5BE5,B9E9,寥
01-6852,5BE6,5BE6,B9EA,實
01-6853,5BE8,5BE8,B9EB,寨
01-685A,5D87,5D87,B9F2,嶇
01-685C,5E63,5E63,B9F4,幣
01-685F,5E54,5E54,B9F7,幔
01-6860,5ED3,5ED3,B9F8,廓
01-6861,5ED6,5ED6,B9F9,廖
01-6862,5F0A,5F0A,B9FA,弊
01-6864,5F70,5F70,B9FC,彰
01-6865,5FB9,5FB9,B9FD,徹
01-6868,614B,614B,BA41,態
01-686A,6162,6162,BA43,慢
01-686B,6163,6163,BA44,慣
01-686C,615F,615F,BA45,慟
01-6873,6454,6454,BA4C,摔
01-6876,645F,645F,BA4F,摟
01-6877,647A,647A,BA50,摺
01-687D,6572,6572,BA56,敲
01-687E,65A1,65A1,BA57,斡
01-6921,65D7,65D7,BA58,旗
01-6924,66A8,66A8,BA5B,暨
01-6925,669D,669D,BA5C,暝
01-6926,699C,699C,BA5D,榜
01-6929,69C1,69C1,BA60,槁
01-692A,69AE,69AE,BA61,榮
01-692C,69CB,69CB,BA63,構
01-692F,69BB,69BB,BA66,榻
01-6932,69D0,69D0,BA69,槐
01-6933,69CD,69CD,BA6A,槍
01-6937,69C3,69C3,BA6E,槃
01-6938,69A3,69A3,BA6F,榣
01-693B,6C33,6C33,BA72,氳
01-693D,6F14,6F14,BA74,演
01-693E,6EFE,6EFE,BA75,滾
01-6942,6F3E,6F3E,BA79,漾
01-6943,6F20,6F20,BA7A,漠
01-6944,6F2C,6F2C,BA7B,漬
01-6947,6F22,6F22,BA7E,漢
01-6948,6EFF,6EFF,BAA1,滿
01-694B,6F31,6F31,BAA4,漱
01-694B,ECDA,ECDA,9DF8,漱
01-694C,6F38,6F38,BAA5,漸
01-694D,6F32,6F32,BAA6,漲
01-694E,6F23,6F23,BAA7,漣
01-6952,6F88,6F88,BAAB,澈
01-6953,6F2A,6F2A,BAAC,漪
01-6957,6ECC,6ECC,BAB0,滌
01-6958,6EF7,6EF7,BAB1,滷
01-695B,717D,717D,BAB4,煽
01-695D,7184,7184,BAB6,熄
01-695E,7192,7192,BAB7,熒
01-6963,7350,7350,BABC,獐
01-6964,7464,7464,BABD,瑤
01-6965,7463,7463,BABE,瑣
01-6967,7470,7470,BAC0,瑰
01-6968,746D,746D,BAC1,瑭
01-6969,7504,7504,BAC2,甄
01-696C,760D,760D,BAC5,瘍
01-6972,7784,7784,BACB,瞄
01-697B,78A3,78A3,BAD4,碣
01-697D,798F,798F,BAD6,福
01-697E,798D,798D,BAD7,禍
01-6A21,7A2E,7A2E,BAD8,種
01-6A24,7AA9,7AA9,BADB,窩
01-6A28,7B95,7B95,BADF,箕
01-6A2A,7B75,7B75,BAE1,筵
01-6A2B,7B97,7B97,BAE2,算
01-6A2D,7B94,7B94,BAE4,箔
01-6A32,7CB9,7CB9,BAE9,粹
01-6A33,7CBD,7CBD,BAEA,粽
01-6A35,7DBB,7DBB,BAEC,綻
01-6A36,7DB0,7DB0,BAED,綰
01-6A37,7D9C,7D9C,BAEE,綜
01-4E7A,759A,759A,AAB9,疚
01-4E7E,76F4,76F4,AABD,直
01-4F21,77E5,77E5,AABE,知
01-4F22,77FD,77FD,AABF,矽
01-4F23,793E,793E,AAC0,社
01-4F24,7940,7940,AAC1,祀
01-4F25,7941,7941,AAC2,祁
01-4F26,79C9,79C9,AAC3,秉
01-4F29,7A79,7A79,AAC6,穹
01-4F2D,7F8C,7F8C,AACA,羌
01-4F2E,7F8B,7F8B,AACB,羋
01-4F30,80BA,80BA,AACD,肺
01-4F31,80A5,80A5,AACE,肥
01-4F32,80A2,80A2,AACF,肢
01-4F33,80B1,80B1,AAD0,肱
01-4F34,80A1,80A1,AAD1,股
01-4F35,80AB,80AB,AAD2,肫
01-4F36,80A9,80A9,AAD3,肩
01-4F39,80AF,80AF,AAD6,肯
01-4F3D,82B3,82B3,AADA,芳
01-4F3E,829D,829D,AADB,芝
01-4F40,82AD,82AD,AADD,芭
01-4F41,82BD,82BD,AADE,芽
01-4F43,82B9,82B9,AAE0,芹
01-4F44,82B1,82B1,AAE1,花
01-4F46,82A5,82A5,AAE3,芥
01-4F49,82A3,82A3,AAE6,芣
01-4F4C,82B7,82B7,AAE9,芷
01-4F4D,864E,864E,AAEA,虎
01-4F4E,8671,8671,AAEB,虱
01-4F52,8FCE,8FCE,AAEF,迎
01-4F55,90B5,90B5,AAF2,邵
01-4F58,90B6,90B6,AAF5,邶
01-4F5A,91D1,91D1,AAF7,金
01-4F5B,9577,9577,AAF8,長
01-4F5F,963F,963F,AAFC,阿
01-4F62,9642,9642,AB40,陂
01-4F63,96B9,96B9,AB41,隹
01-4F64,96E8,96E8,AB42,雨
01-4F65,9752,9752,AB43,青
01-4F6A,4FE1,4FE1,AB48,信
01-4F6B,4FB5,4FB5,AB49,侵
01-4F6D,4FBF,4FBF,AB4B,便
01-4F72,4FC3,4FC3,AB50,促
01-4F73,4FB6,4FB6,AB51,侶
01-4F74,4FD8,4FD8,AB52,俘
01-4F75,4FDF,4FDF,AB53,俟
01-4F76,4FCA,4FCA,AB54,俊
01-4F79,4FD0,4FD0,AB57,俐
01-4F7D,4FCE,4FCE,AB5B,俎
01-5021,4FB7,4FB7,AB5D,侷
01-5023,5192,5192,AB5F,冒
01-5024,5191,5191,AB60,冑
01-5026,524E,524E,AB62,剎
01-5027,5243,5243,AB63,剃
01-5028,524A,524A,AB64,削
01-502A,524C,524C,AB66,剌
01-502C,5247,5247,AB68,則
01-502D,52C7,52C7,AB69,勇
01-502E,52C9,52C9,AB6A,勉
01-5034,539A,539A,AB70,厚
01-5036,54AC,54AC,AB72,咬
01-5037,54C0,54C0,AB73,哀
01-5038,54A8,54A8,AB74,咨
01-503A,54C9,54C9,AB76,哉
01-503C,54A6,54A6,AB78,咦
01-503D,54B3,54B3,AB79,咳
01-503E,54C7,54C7,AB7A,哇
01-5040,54BD,54BD,AB7C,咽
01-5042,54C1,54C1,AB7E,品
01-5045,54AF,54AF,ABA3,咯
01-504A,54A7,54A7,ABA8,咧
01-504B,54BF,54BF,ABA9,咿
01-504F,57A0,57A0,ABAD,垠
01-5051,57A2,57A2,ABAF,垢
01-5053,57AE,57AE,ABB1,垮
01-5056,5951,5951,ABB4,契
01-5058,594E,594E,ABB6,奎
01-5059,5950,5950,ABB7,奐
01-505C,59FF,59FF,ABBA,姿
01-5062,59DA,59DA,ABC0,姚
01-5064,5A01,5A01,ABC2,威
01-5066,5B69,5B69,ABC4,孩
01-5067,5BA3,5BA3,ABC5,宣
01-5068,5BA6,5BA6,ABC6,宦
01-506A,5BA2,5BA2,ABC8,客
01-506B,5BA5,5BA5,ABC9,宥
01-506C,5C01,5C01,ABCA,封
01-506D,5C4E,5C4E,ABCB,屎
01-506E,5C4F,5C4F,ABCC,屏
01-506F,5C4D,5C4D,ABCD,屍
01-5070,5C4B,5C4B,ABCE,屋
01-5072,5CD2,5CD2,ABD0,峒
01-5075,5E25,5E25,ABD3,帥
01-507A,5EFA,5EFA,ABD8,建
01-507B,5F08,5F08,ABD9,弈
01-5121,5F85,5F85,ABDD,待
01-5125,5F8C,5F8C,ABE1,後
01-5126,5F89,5F89,ABE2,徉
01-5127,6012,6012,ABE3,怒
01-5129,6020,6020,ABE5,怠
01-6A39,7DBE,7DBE,BAF0,綾
01-6A3A,7DA0,7DA0,BAF1,綠
01-6A3C,7DB4,7DB4,BAF3,綴
01-6A3E,7DB1,7DB1,BAF5,綱
01-6A3F,7DBA,7DBA,BAF6,綺
01-6A42,7DB5,7DB5,BAF9,綵
01-6A43,7DB8,7DB8,BAFA,綸
01-6A45,7DD2,7DD2,BAFC,緒
01-6A46,7DC7,7DC7,BAFD,緇
01-6A47,7DAC,7DAC,BAFE,綬
01-6A49,7FE0,7FE0,BB41,翠
01-6A4A,7FE1,7FE1,BB42,翡
01-6A4C,805E,805E,BB44,聞
01-6A4E,8087,8087,BB46,肇
01-6A4F,8150,8150,BB47,腐
01-6A52,8188,8188,BB4A,膈
01-6A53,818A,818A,BB4B,膊
01-6A55,8182,8182,BB4D,膂
01-6A56,81E7,81E7,BB4E,臧
01-6A57,81FA,81FA,BB4F,臺
01-6A59,8214,8214,BB51,舔
01-6A5C,84C9,84C9,BB54,蓉
01-6A5E,84C6,84C6,BB56,蓆
01-6A5F,84C4,84C4,BB57,蓄
01-6A62,84B2,84B2,BB5A,蒲
01-6A65,84B8,84B8,BB5D,蒸
01-6A66,84C0,84C0,BB5E,蓀
01-6A67,84D3,84D3,BB5F,蓓
01-6A69,84BC,84BC,BB61,蒼
01-6A6A,84D1,84D1,BB62,蓑
01-6A6C,873F,873F,BB64,蜿
01-6A6F,8722,8722,BB67,蜢
01-6A70,8725,8725,BB68,蜥
01-6A72,8718,8718,BB6A,蜘
01-6A73,8755,8755,BB6B,蝕
01-6A75,8729,8729,BB6D,蜩
01-6A76,88F3,88F3,BB6E,裳
01-6A77,8902,8902,BB6F,褂
01-6A78,88F4,88F4,BB70,裴
01-6A7B,88FD,88FD,BB73,製
01-6A7C,88E8,88E8,BB74,裨
01-6A7E,88EF,88EF,BB76,裯
01-6B21,8AA6,8AA6,BB77,誦
01-6B22,8A8C,8A8C,BB78,誌
01-6B23,8A9E,8A9E,BB79,語
01-6B26,8AA1,8AA1,BB7C,誡
01-6B28,8AA4,8AA4,BB7E,誤
01-6B29,8AAA,8AAA,BBA1,說
01-6B2A,8AA5,8AA5,BBA2,誥
01-6B2B,8AA8,8AA8,BBA3,誨
01-6B2D,8A91,8A91,BBA5,誑
01-6B2F,8AA7,8AA7,BBA7,誧
01-6B34,8CD1,8CD1,BBAC,賑
01-6B35,8CD2,8CD2,BBAD,賒
01-6B37,8D99,8D99,BBAF,趙
01-6B3C,8F15,8F15,BBB4,輕
01-6B3E,8FA3,8FA3,BBB6,辣
01-6B44,905E,905E,BBBC,遞
01-6B45,9062,9062,BBBD,遢
01-6B47,905B,905B,BBBF,遛
01-6B48,9119,9119,BBC0,鄙
01-6B4B,9175,9175,BBC3,酵
01-6B4C,9178,9178,BBC4,酸
01-6B4D,9177,9177,BBC5,酷
01-6B4E,9174,9174,BBC6,酴
01-6B54,9296,9296,BBCB,銖
01-6B55,927B,927B,BBCC,鉻
01-6B57,929C,929C,BBCE,銜
01-6B5C,95A8,95A8,BBD3,閨
01-6B5E,95A3,95A3,BBD5,閣
01-6B60,95A4,95A4,BBD7,閤
01-6B61,9699,9699,BBD8,隙
01-6B65,96D2,96D2,BBDC,雒
01-6B67,977C,977C,BBDE,靼
01-6B68,9785,9785,BBDF,鞅
01-6B6B,9818,9818,BBE2,領
01-6B6D,98B1,98B1,BBE4,颱
01-6B72,99C1,99C1,BBE9,駁
01-6B73,9AAF,9AAF,BBEA,骯
01-6B74,9AB0,9AB0,BBEB,骰
01-6B7A,9CF3,9CF3,BBF1,鳳
01-6B7C,9F3B,9F3B,BBF3,鼻
01-6B7E,5104,5104,BBF5,億
01-6C22,50FB,50FB,BBF7,僻
01-6C23,50F5,50F5,BBF8,僵
01-6C24,50F9,50F9,BBF9,價
01-6C26,5108,5108,BBFB,儈
01-6C27,5109,5109,BBFC,儉
01-6C2A,5287,5287,BC40,劇
01-6C2B,5288,5288,BC41,劈
01-6C2D,528D,528D,BC43,劍
01-6C2E,528A,528A,BC44,劊
01-6C2F,52F0,52F0,BC45,勰
01-6C30,53B2,53B2,BC46,厲
01-6C31,562E,562E,BC47,嘮
01-6C35,563F,563F,BC4B,嘿
01-6C38,5653,5653,BC4E,噓
01-6C39,564E,564E,BC4F,噎
01-6C3C,5636,5636,BC52,嘶
01-6C40,589F,589F,BC56,墟
01-6C41,589E,589E,BC57,增
01-512C,6028,6028,ABE8,怨
01-512F,6068,6068,ABEB,恨
01-5131,6046,6046,ABED,恆
01-5132,6043,6043,ABEE,恃
01-5134,606B,606B,ABF0,恫
01-5135,606A,606A,ABF1,恪
01-5136,6064,6064,ABF2,恤
01-5137,6241,6241,ABF3,扁
01-5139,6316,6316,ABF5,挖
01-513C,62ED,62ED,ABF8,拭
01-513F,62FD,62FD,ABFB,拽
01-5142,62F7,62F7,ABFE,拷
01-5144,62EC,62EC,AC41,括
01-5145,62FE,62FE,AC42,拾
01-5148,6302,6302,AC45,挂
01-5149,653F,653F,AC46,政
01-514A,6545,6545,AC47,故
01-514B,65AB,65AB,AC48,斫
01-514D,65E2,65E2,AC4A,既
01-514E,6625,6625,AC4B,春
01-5150,6620,6620,AC4D,映
01-5151,6627,6627,AC4E,昧
01-5153,661F,661F,AC50,星
01-5156,6624,6624,AC53,昤
01-5157,66F7,66F7,AC54,曷
01-5158,67FF,67FF,AC55,柿
01-515C,67D0,67D0,AC59,某
01-515F,67AF,67AF,AC5C,枯
01-5161,67E9,67E9,AC5E,柩
01-5162,67EF,67EF,AC5F,柯
01-5164,67D1,67D1,AC61,柑
01-5165,67B4,67B4,AC62,枴
01-5166,67DA,67DA,AC63,柚
